aircraft_id,tail_number,manufacturer,model,age
504,N599JB,AIRBUS,A320,20
505,N823UA,AIRBUS,A319,25
506,N922VA,AIRBUS,A321,7
507,N614AS,BOEING,737 NG,25
508,N8729H,BOEING,737 NG,6
509,N8786Q,BOEING,737 NG,2
510,N447WN,BOEING,737 NG,21
511,N283JB,EMBRAER,190/195,17
512,N360DN,AIRBUS,A321,6
513,N8550Q,BOEING,737 NG,7
514,N929DZ,BOEING,737 NG,5
515,N688DL,BOEING,757,26
516,N8723Q,BOEING,737 NG,6
517,N310SY,EMBRAER,170/175,2
518,N76514,BOEING,737 NG,16
519,N672DL,BOEING,757,32
520,N37293,BOEING,737 NG,19
521,N478UA,AIRBUS,A320,23
522,N144DU,AIRBUS,A220,2
523,N834MH,BOEING,767,24
524,N75425,BOEING,737 NG,16
525,N660AW,AIRBUS,A320,24
526,N222WN,BOEING,737 NG,19
527,N961WN,BOEING,737 NG,13
528,N221NN,EMBRAER,170/175,9
529,N231JB,EMBRAER,190/195,18
530,N551NN,CANADAIR REGIONAL JET,CRJ,10
531,N513DA,AIRBUS,A321,2
532,N915AK,BOEING,737 NG,5
533,N827DN,BOEING,737 NG,10
534,N850DN,BOEING,737 NG,9
535,N346PR,BOEING,737 NG,7
536,N7839A,BOEING,737 NG,23
537,N744P,AIRBUS,A319,24
538,N8918B,CANADAIR REGIONAL JET,CRJ,20
539,N447SW,CANADAIR REGIONAL JET,CRJ,22
540,N871DN,BOEING,737 NG,7
541,N2341U,BOEING,777,7
542,N873BB,BOEING,787,4
543,N370HA,AIRBUS,A330,10
544,N732AN,BOEING,777,10
545,N27266,BOEING,737 NG,3
546,N8672F,BOEING,737 NG,9
547,N553NN,CANADAIR REGIONAL JET,CRJ,10
548,N813AN,BOEING,787,8
549,N8583Z,BOEING,737 NG,6
550,N290SY,EMBRAER,170/175,6
551,N926UW,AIRBUS,A321,9
552,N17285,BOEING,737 NG,5
553,N919XJ,CANADAIR REGIONAL JET,CRJ,16
554,N211WN,BOEING,737 NG,19
555,N305FR,AIRBUS,A320,8
556,N8760L,BOEING,737 NG,2
557,N492WN,BOEING,737 NG,20
558,N173DZ,BOEING,767,26
559,N227UA,BOEING,777,23
560,N457SW,CANADAIR REGIONAL JET,CRJ,21
561,N423AN,AIRBUS,A321,3
562,N386HA,AIRBUS,A330,12
563,N325NB,AIRBUS,A319,23
564,N658AW,AIRBUS,A320,25
565,N198JB,EMBRAER,190/195,18
566,N679AE,EMBRAER,135/145,20
567,N997AT,BOEING,717,22
568,N8517F,BOEING,737 NG,8
569,N295WN,BOEING,737 NG,17
570,N165US,AIRBUS,A321,23
571,N804NW,AIRBUS,A330,21
572,N12225,BOEING,737 NG,26
573,N930NK,AIRBUS,A320,4
574,N829DN,BOEING,737 NG,10
575,N552NW,BOEING,757,23
576,N671NK,AIRBUS,A321,8
577,N874AS,CANADAIR REGIONAL JET,CRJ,23
578,N920XJ,CANADAIR REGIONAL JET,CRJ,16
579,N253AK,BOEING,737 NG,8
580,N8821S,BOEING,737 NG,2
581,N576UW,AIRBUS,A321,10
582,N991AT,BOEING,717,22
583,N267WN,BOEING,737 NG,17
584,N306SW,BOEING,737,39
585,N228HA,AIRBUS,A321,5
586,N127DN,AIRBUS,A321,3
587,N448YX,EMBRAER,170/175,4
588,N39463,BOEING,737 NG,12
589,N78511,BOEING,737 NG,16
590,N533AE,CANADAIR REGIONAL JET,CRJ,14
591,N490PX,CANADAIR REGIONAL JET,CRJ,4
592,N234WN,BOEING,737 NG,18
593,N8308K,BOEING,737 NG,12
594,N329NB,AIRBUS,A319,23
595,N583NW,BOEING,757,22
596,N68891,BOEING,737 NG,9
597,N992AU,AIRBUS,A321,8
598,N530AS,BOEING,737 NG,14
599,N602UX,EMBRAER,170/175,5
600,N382FR,AIRBUS,A320,3
601,N494UA,AIRBUS,A320,22
602,N776UA,BOEING,777,28
603,N944AN,BOEING,737 NG,24
604,N793SA,BOEING,737 NG,24
605,N17104,BOEING,757,30
606,N951NN,BOEING,737 NG,10
607,N960NN,BOEING,737 NG,10
608,N380DA,BOEING,737 NG,25
609,N8720L,BOEING,737 NG,6
610,N16065,BOEING,767,25
611,N912UY,AIRBUS,A321,10
612,N593JB,AIRBUS,A320,20
613,N613NK,AIRBUS,A320,12
614,N903XJ,CANADAIR REGIONAL JET,CRJ,17
615,N2105J,AIRBUS,A321,3
616,N376NW,AIRBUS,A320,22
617,N76065,BOEING,767,22
618,N442AS,BOEING,737 NG,11
619,N839AA,BOEING,787,6
620,N193SY,EMBRAER,170/175,7
621,N780SK,CANADAIR REGIONAL JET,CRJ,15
622,N506DA,AIRBUS,A321,2
623,N7833A,BOEING,737 NG,21
624,N12021,BOEING,787,2
625,N945WN,BOEING,737 NG,14
626,N114DU,AIRBUS,A220,5
627,N422AN,AIRBUS,A321,4
628,N915EV,CANADAIR REGIONAL JET,CRJ,21
629,N151UW,AIRBUS,A321,11
630,N419AS,BOEING,737 NG,11
631,N253NV,AIRBUS,A320,7
632,N966NN,BOEING,737 NG,9
633,N69885,BOEING,737 NG,9
634,N35236,BOEING,737 NG,25
635,N913WN,BOEING,737 NG,16
636,N985JT,AIRBUS,A321,7
637,N136SY,EMBRAER,170/175,9
638,N900PC,BOEING,757,27
639,N47505,BOEING,737 NG,6
640,N649NK,AIRBUS,A320,7
641,N723FR,AIRBUS,A321,6
642,N459AS,BOEING,737 NG,10
643,N102DN,AIRBUS,A321,4
644,N556NW,BOEING,757,22
645,N608SK,CANADAIR REGIONAL JET,CRJ,18
646,N8827Q,BOEING,737 NG,2
647,N408YX,EMBRAER,170/175,11
648,N282AK,BOEING,737 NG,7
649,N284WN,BOEING,737 NG,17
650,N765AN,BOEING,777,21
651,N814DN,BOEING,737 NG,10
652,N463AA,AIRBUS,A321,2
653,N324SY,EMBRAER,170/175,2
654,N244SY,EMBRAER,170/175,8
655,N792SW,BOEING,737 NG,24
656,N473WN,BOEING,737 NG,20
657,N230WN,BOEING,737 NG,18
658,N8640D,BOEING,737 NG,10
659,N487HA,BOEING,717,23
660,N910NN,BOEING,737 NG,12
661,N136HQ,EMBRAER,170/175,16
662,N816AA,BOEING,787,8
663,N8793Q,BOEING,737 NG,2
664,N806AA,BOEING,787,9
665,N876UA,AIRBUS,A319,20
666,N265WN,BOEING,737 NG,17
667,N654RW,EMBRAER,170/175,19
668,N385DZ,AIRBUS,A321,5
669,N845MH,BOEING,767,22
670,N115DN,AIRBUS,A321,3
671,N406YX,EMBRAER,170/175,11
672,N324JB,EMBRAER,190/195,14
673,N772AN,BOEING,777,25
674,N542UW,AIRBUS,A321,15
675,N147AA,AIRBUS,A321,9
676,N133AN,AIRBUS,A321,9
677,N78448,BOEING,737 NG,12
678,N231AN,EMBRAER,170/175,8
679,N3738B,BOEING,737 NG,24
680,N372DA,BOEING,737 NG,26
681,N596AS,BOEING,737 NG,16
682,N740SK,CANADAIR REGIONAL JET,CRJ,19
683,N360FR,AIRBUS,A320,6
684,N328NV,AIRBUS,A319,18
685,N427AN,AIRBUS,A321,4
686,N441YX,EMBRAER,170/175,10
687,N613JB,AIRBUS,A320,19
688,N736YX,EMBRAER,170/175,8
689,N946JL,AIRBUS,A321,9
690,N398DN,AIRBUS,A321,4
691,N61882,BOEING,737 NG,9
692,N38443,BOEING,737 NG,14
693,N693NK,AIRBUS,A320,6
694,N869DN,BOEING,737 NG,8
695,N368CA,CANADAIR REGIONAL JET,CRJ,21
696,N804JB,AIRBUS,A320,12
697,N971JT,AIRBUS,A321,8
698,N8607M,BOEING,737 NG,11
699,N987JT,AIRBUS,A321,7
700,N37541,BOEING,737 NG,2
701,N528AS,BOEING,737 NG,15
702,N351FR,AIRBUS,A320,5
703,N912NK,AIRBUS,A320,6
704,N229NN,EMBRAER,170/175,8
705,N375FR,AIRBUS,A320,4
706,N3747D,BOEING,737 NG,23
707,N562NN,CANADAIR REGIONAL JET,CRJ,10
708,N880RW,EMBRAER,170/175,16
709,N73278,BOEING,737 NG,21
710,N439SW,CANADAIR REGIONAL JET,CRJ,23
711,N377FR,AIRBUS,A320,3
712,N39461,BOEING,737 NG,12
713,N842DN,BOEING,737 NG,9
714,N24211,BOEING,737 NG,26
715,N667NK,AIRBUS,A321,8
716,N924VA,AIRBUS,A321,6
717,N922NK,AIRBUS,A320,5
718,N951AA,BOEING,737 NG,24
719,N287NN,EMBRAER,170/175,5
720,N3062J,AIRBUS,A220,3
721,N912EV,CANADAIR REGIONAL JET,CRJ,22
722,N283NV,AIRBUS,A320,18
723,N216NN,EMBRAER,170/175,9
724,N305DU,AIRBUS,A220,4
725,N2639U,BOEING,777,7
726,N926WN,BOEING,737 NG,16
727,N544EA,CANADAIR REGIONAL JET,CRJ,13
728,N595JB,AIRBUS,A320,20
729,N938AK,BOEING,737 NG,2
730,N870NN,BOEING,737 NG,13
731,N150UW,AIRBUS,A321,11
732,N149AN,AIRBUS,A321,9
733,N320DN,AIRBUS,A321,7
734,N257WN,BOEING,737 NG,18
735,N486AS,BOEING,737 NG,9
736,N47524,BOEING,737 NG,5
737,N224NN,EMBRAER,170/175,8
738,N940AN,BOEING,737 NG,24
739,N861NN,BOEING,737 NG,14
740,N438YX,EMBRAER,170/175,10
741,N853DN,BOEING,737 NG,8
742,N75435,BOEING,737 NG,15
743,N188SY,EMBRAER,170/175,7
744,N7725A,BOEING,737 NG,18
745,N629NK,AIRBUS,A320,10
746,N803DN,BOEING,737 NG,11
747,N287WN,BOEING,737 NG,17
748,N218UA,BOEING,777,24
749,N804AW,AIRBUS,A319,25
750,N752US,AIRBUS,A319,24
751,N8733M,BOEING,737 NG,5
752,N263AK,BOEING,737 NG,8
753,N375HA,AIRBUS,A330,9
754,N76055,BOEING,767,23
755,N27509,BOEING,737 NG,6
756,N69020,BOEING,777,17
757,N34131,BOEING,757,26
758,N693CA,CANADAIR REGIONAL JET,CRJ,17
759,N77536,BOEING,737 NG,8
760,N833NN,BOEING,737 NG,14
761,N291SY,EMBRAER,170/175,6
762,N287SY,EMBRAER,170/175,6
763,N943AT,BOEING,717,25
764,N177XF,AIRBUS,A319,18
765,N246NN,EMBRAER,170/175,8
766,N323NB,AIRBUS,A319,23
767,N567NN,CANADAIR REGIONAL JET,CRJ,9
768,N135EV,CANADAIR REGIONAL JET,CRJ,15
769,N930VA,AIRBUS,A321,5
770,N830DN,BOEING,737 NG,10
771,N376DA,BOEING,737 NG,26
772,N535US,BOEING,757,29
773,N722TW,BOEING,757,25
774,N47293,BOEING,737 NG,1
775,N313DU,AIRBUS,A220,2
776,N441UW,AIRBUS,A321,3
777,N527EA,CANADAIR REGIONAL JET,CRJ,14
778,N913NK,AIRBUS,A320,7
779,N837UA,AIRBUS,A319,23
780,N625CA,CANADAIR REGIONAL JET,CRJ,21
781,N335PH,BOEING,737 NG,7
782,N979NN,BOEING,737 NG,9
783,N8638A,BOEING,737 NG,10
784,N290AK,BOEING,737 NG,6
785,N636NK,AIRBUS,A320,10
786,N737US,AIRBUS,A319,24
787,N955WN,BOEING,737 NG,13
788,N76515,BOEING,737 NG,16
789,N8730Q,BOEING,737 NG,6
790,N948WN,BOEING,737 NG,14
791,N355NW,AIRBUS,A320,26
792,N77431,BOEING,737 NG,15
793,N185DN,BOEING,767,29
794,N826DN,BOEING,737 NG,10
795,N233FR,AIRBUS,A320,8
796,N435UA,AIRBUS,A320,28
797,N691NK,AIRBUS,A320,6
798,N302SS,BOEING,737 NG,4
799,N218NV,AIRBUS,A320,24
800,N991AN,BOEING,737 NG,15
801,N204JQ,EMBRAER,170/175,16
802,N459SW,CANADAIR REGIONAL JET,CRJ,21
803,N104DU,AIRBUS,A220,6
804,N838NN,BOEING,737 NG,14
805,N278SY,EMBRAER,170/175,6
806,N664NK,AIRBUS,A321,8
807,N1808U,BOEING,737 NG,5
808,N478WN,BOEING,737 NG,20
809,N423YX,EMBRAER,170/175,10
810,N217JQ,EMBRAER,170/175,17
811,N754UW,AIRBUS,A319,24
812,N26970,BOEING,787,7
813,N590NN,CANADAIR REGIONAL JET,CRJ,8
814,N978AT,BOEING,717,22
815,N201JQ,EMBRAER,170/175,16
816,N15712,BOEING,737 NG,26
817,N3744F,BOEING,737 NG,23
818,N8724J,BOEING,737 NG,6
819,N780SW,BOEING,737 NG,24
820,N27519,BOEING,737 NG,5
821,N317DN,AIRBUS,A321,7
822,N835AY,CANADAIR REGIONAL JET,CRJ,19
823,N966WN,BOEING,737 NG,13
824,N157UW,AIRBUS,A321,11
825,N935AK,BOEING,737 NG,2
826,N756AM,BOEING,777,23
827,N62849,BOEING,737 NG,9
828,N251AK,BOEING,737 NG,8
829,N182UW,AIRBUS,A321,23
830,N502DX,AIRBUS,A321,2
831,N271SY,EMBRAER,170/175,6
832,N306SY,EMBRAER,170/175,4
833,N7888A,BOEING,737 NG,17
834,N190DN,BOEING,767,27
835,N321RL,BOEING,737 NG,6
836,N607NN,CANADAIR REGIONAL JET,CRJ,5
837,N430YX,EMBRAER,170/175,10
838,N807NN,BOEING,737 NG,15
839,N385FR,AIRBUS,A320,3
840,N517SY,EMBRAER,170/175,3
841,N499WN,BOEING,737 NG,19
842,N8679A,BOEING,737 NG,8
843,N815NN,BOEING,737 NG,15
844,N704US,AIRBUS,A319,26
845,N433UA,AIRBUS,A320,28
846,N827NN,BOEING,737 NG,14
847,N335NB,AIRBUS,A319,23
848,N8643A,BOEING,737 NG,10
849,N257SY,EMBRAER,170/175,7
850,N939WN,BOEING,737 NG,15
851,N353NB,AIRBUS,A319,22
852,N264NN,EMBRAER,170/175,6
853,N989NN,BOEING,737 NG,8
854,N66828,BOEING,737 NG,10
855,N338FR,AIRBUS,A320,6
856,N713FR,AIRBUS,A321,8
857,N237WN,BOEING,737 NG,18
858,N915NK,AIRBUS,A320,6
859,N414YX,EMBRAER,170/175,11
860,N965JT,AIRBUS,A321,8
861,N628NK,AIRBUS,A320,10
862,N978AK,BOEING,737 NG,4
863,N153PQ,CANADAIR REGIONAL JET,CRJ,17
864,N836MH,BOEING,767,24
865,N639JB,AIRBUS,A320,18
866,N79541,BOEING,737 NG,7
867,N901DN,BOEING,737 NG,6
868,N983JT,AIRBUS,A321,7
869,N8660A,BOEING,737 NG,9
870,N199NV,AIRBUS,A320,8
871,N990AT,BOEING,717,22
872,N597NN,CANADAIR REGIONAL JET,CRJ,8
873,N398DA,BOEING,737 NG,24
874,N8823Q,BOEING,737 NG,2
875,N112DN,AIRBUS,A321,3
876,N602XJ,CANADAIR REGIONAL JET,CRJ,19
877,N806DN,BOEING,737 NG,11
878,N3765,BOEING,737 NG,23
879,N7831B,BOEING,737 NG,21
880,N131SY,EMBRAER,170/175,9
881,N273NV,AIRBUS,A320,17
882,N545US,BOEING,757,28
883,N862NN,BOEING,737 NG,14
884,N865DN,BOEING,737 NG,8
885,N786SK,CANADAIR REGIONAL JET,CRJ,15
886,N453WN,BOEING,737 NG,20
887,N307DU,AIRBUS,A220,3
888,N890UA,AIRBUS,A319,18
889,N389HA,AIRBUS,A330,12
890,N613SK,CANADAIR REGIONAL JET,CRJ,22
891,N667DN,BOEING,757,33
892,N590AS,BOEING,737 NG,17
893,N811UA,AIRBUS,A319,26
894,N586NN,CANADAIR REGIONAL JET,CRJ,9
895,N8735L,BOEING,737 NG,5
896,N709FR,AIRBUS,A321,8
897,N400SY,EMBRAER,170/175,6
898,N607LR,CANADAIR REGIONAL JET,CRJ,16
899,N658DL,BOEING,757,34
900,N953NN,BOEING,737 NG,10
901,N435AN,AIRBUS,A321,3
902,N657RW,EMBRAER,170/175,19
903,N527NK,AIRBUS,A319,18
904,N37504,BOEING,737 NG,6
905,N120DU,AIRBUS,A220,5
906,N908SW,CANADAIR REGIONAL JET,CRJ,23
907,N927NN,BOEING,737 NG,11
908,N105NN,AIRBUS,A321,11
909,N749US,AIRBUS,A319,24
910,N258JB,EMBRAER,190/195,18
911,N283WN,BOEING,737 NG,17
912,N68802,BOEING,737 NG,11
913,N682DA,BOEING,757,31
914,N273SY,EMBRAER,170/175,6
915,N57439,BOEING,737 NG,15
916,N143SY,EMBRAER,170/175,9
917,N561UW,AIRBUS,A321,12
918,N806JB,AIRBUS,A320,12
919,N769UA,BOEING,777,29
920,N314NB,AIRBUS,A319,24
921,N914UY,AIRBUS,A321,10
922,N651JB,AIRBUS,A320,18
923,N75436,BOEING,737 NG,15
924,N301NV,AIRBUS,A319,20
925,N403AN,AIRBUS,A321,5
926,N440LV,BOEING,737 NG,21
927,N188DN,BOEING,767,28
928,N864DN,BOEING,737 NG,8
929,N516JB,AIRBUS,A320,24
930,N934WN,BOEING,737 NG,15
931,N803SK,CANADAIR REGIONAL JET,CRJ,18
932,N306PB,BOEING,737 NG,8
933,N132EV,CANADAIR REGIONAL JET,CRJ,15
934,N815MD,EMBRAER,170/175,20
935,N14219,BOEING,737 NG,26
936,N407SY,EMBRAER,170/175,2
937,N8613K,BOEING,737 NG,11
938,N915SW,CANADAIR REGIONAL JET,CRJ,22
939,N228JB,EMBRAER,190/195,18
940,N871HK,BOEING,737 NG,2
941,N909XJ,CANADAIR REGIONAL JET,CRJ,17
942,N301PQ,CANADAIR REGIONAL JET,CRJ,11
943,N223NN,EMBRAER,170/175,9
944,N562JB,AIRBUS,A320,21
945,N831AA,BOEING,787,7
946,N3760C,BOEING,737 NG,23
947,N829MH,BOEING,767,24
948,N13113,BOEING,757,29
949,N7886A,BOEING,737 NG,17
950,N410SY,EMBRAER,170/175,2
951,N510JB,AIRBUS,A320,24
952,N242WN,BOEING,737 NG,18
953,N7738A,BOEING,737 NG,18
954,N893NN,BOEING,737 NG,12
955,N28457,BOEING,737 NG,12
956,N823AN,BOEING,787,8
957,N612NN,CANADAIR REGIONAL JET,CRJ,5
958,N657NK,AIRBUS,A321,9
959,N213SY,EMBRAER,170/175,7
960,N312NV,AIRBUS,A319,20
961,N933EV,CANADAIR REGIONAL JET,CRJ,19
962,N8743K,BOEING,737 NG,5
963,N539US,BOEING,757,28
964,N895UA,AIRBUS,A319,17
965,N925UY,AIRBUS,A321,9
966,N857DZ,BOEING,737 NG,8
967,N916NN,BOEING,737 NG,11
968,N820AW,AIRBUS,A319,24
969,N323US,AIRBUS,A320,33
970,N151AN,AIRBUS,A321,9
971,N548US,BOEING,757,28
972,N108SY,EMBRAER,170/175,10
973,N237NN,EMBRAER,170/175,8
974,N487WN,BOEING,737 NG,20
975,N415AN,AIRBUS,A321,4
976,N37508,BOEING,737 NG,6
977,N851NW,AIRBUS,A330,20
978,N840AN,BOEING,787,5
979,N342NB,AIRBUS,A319,22
980,N857NW,AIRBUS,A330,20
981,N638NK,AIRBUS,A320,9
982,N855DN,BOEING,737 NG,8
983,N3736C,BOEING,737 NG,24
984,N27260,BOEING,737 NG,3
985,N230HA,AIRBUS,A321,4
986,N4005X,AIRBUS,A319,11
987,N3769L,BOEING,737 NG,22
988,N331NW,AIRBUS,A320,32
989,N209JQ,EMBRAER,170/175,16
990,N935XJ,CANADAIR REGIONAL JET,CRJ,16
991,N350NA,AIRBUS,A320,31
992,N331NB,AIRBUS,A319,23
993,N140AN,AIRBUS,A321,9
994,N829SK,CANADAIR REGIONAL JET,CRJ,6
995,N465AN,AIRBUS,A321,2
996,N570AS,BOEING,737 NG,17
997,N338DN,AIRBUS,A321,6
998,N792AN,BOEING,777,24
999,N131NN,AIRBUS,A321,9
1000,N836AY,CANADAIR REGIONAL JET,CRJ,19
1001,N952NN,BOEING,737 NG,10
1002,N858NN,BOEING,737 NG,14
1003,N917NK,AIRBUS,A320,5
1004,N218PS,CANADAIR REGIONAL JET,CRJ,20
1005,N946AT,BOEING,717,25
1006,N8740A,BOEING,737 NG,5
1007,N644AS,BOEING,737 NG,21
1008,N304FR,AIRBUS,A320,8
1009,N384HA,AIRBUS,A330,13
1010,N330FR,AIRBUS,A320,6
1011,N9029F,AIRBUS,A319,9
1012,N545UW,AIRBUS,A321,13
1013,N68801,BOEING,737 NG,11
1014,N594JB,AIRBUS,A320,20
1015,N2048J,AIRBUS,A321,4
1016,N506DN,AIRBUS,A350,7
1017,N787UA,BOEING,777,28
1018,N37419,BOEING,737 NG,16
1019,N365NB,AIRBUS,A319,21
1020,N350DN,AIRBUS,A321,6
1021,N791SW,BOEING,737 NG,24
1022,N39726,BOEING,737 NG,25
1023,N226JQ,EMBRAER,170/175,16
1024,N8731J,BOEING,737 NG,6
1025,N613UX,EMBRAER,170/175,5
1026,N893AT,BOEING,717,20
1027,N825AW,AIRBUS,A319,23
1028,N709UW,AIRBUS,A319,25
1029,N26967,BOEING,787,8
1030,N742PS,AIRBUS,A319,24
1031,N356FR,AIRBUS,A320,5
1032,N342PM,BOEING,737 NG,7
1033,N310NV,AIRBUS,A319,20
1034,N525NK,AIRBUS,A319,18
1035,N35271,BOEING,737 NG,23
1036,N232WN,BOEING,737 NG,18
1037,N57857,BOEING,757,20
1038,N8639B,BOEING,737 NG,10
1039,N479AS,BOEING,737 NG,9
1040,N461SW,CANADAIR REGIONAL JET,CRJ,21
1041,N464SW,CANADAIR REGIONAL JET,CRJ,21
1042,N7722B,BOEING,737 NG,18
1043,N583JB,AIRBUS,A320,21
1044,N336NW,AIRBUS,A320,32
1045,N724EV,CANADAIR REGIONAL JET,CRJ,20
1046,N426WN,BOEING,737 NG,22
1047,N220UA,BOEING,777,23
1048,N670DN,BOEING,757,33
1049,N860NN,BOEING,737 NG,14
1050,N740YX,EMBRAER,170/175,8
1051,N24973,BOEING,787,6
1052,N604LR,CANADAIR REGIONAL JET,CRJ,16
1053,N8657B,BOEING,737 NG,10
1054,N8758L,BOEING,737 NG,2
1055,N8746Q,BOEING,737 NG,4
1056,N93003,AIRBUS,A319,11
1057,N937EV,CANADAIR REGIONAL JET,CRJ,19
1058,N947AT,BOEING,717,25
1059,N584NN,CANADAIR REGIONAL JET,CRJ,9
1060,N623UX,EMBRAER,170/175,5
1061,N213WN,BOEING,737 NG,19
1062,N602LR,CANADAIR REGIONAL JET,CRJ,16
1063,N559AS,BOEING,737 NG,18
1064,N388HA,AIRBUS,A330,12
1065,N203WN,BOEING,737 NG,19
1066,N47414,BOEING,737 NG,16
1067,N17122,BOEING,757,27
1068,N846DN,BOEING,737 NG,9
1069,N227WN,BOEING,737 NG,19
1070,N259NV,AIRBUS,A320,15
1071,N797SK,CANADAIR REGIONAL JET,CRJ,14
1072,N132DU,AIRBUS,A220,4
1073,N508DA,AIRBUS,A321,2
1074,N948NN,BOEING,737 NG,10
1075,N128DN,AIRBUS,A321,3
1076,N278NV,AIRBUS,A320,14
1077,N946WN,BOEING,737 NG,14
1078,N305SY,EMBRAER,170/175,4
1079,N246JQ,EMBRAER,170/175,16
1080,N279MQ,EMBRAER,170/175,5
1081,N14120,BOEING,757,27
1082,N343PN,BOEING,737 NG,7
1083,N962AN,BOEING,737 NG,23
1084,N156AN,AIRBUS,A321,8
1085,N246NV,AIRBUS,A320,7
1086,N12114,BOEING,757,29
1087,N961JT,AIRBUS,A321,8
1088,N753AN,BOEING,777,23
1089,N69829,BOEING,737 NG,10
1090,N921AN,BOEING,737 NG,25
1091,N8831L,BOEING,737 NG,2
1092,N36476,BOEING,737 NG,11
1093,N760SW,BOEING,737 NG/MAX,24
1094,N868DN,BOEING,737 NG,8
1095,N359PX,BOEING,737 NG,7
1096,N8501V,BOEING,737 NG,8
1097,N562WN,BOEING,737 NG,24
1098,N8745K,BOEING,737 NG,4
1099,N8677A,BOEING,737 NG,8
1100,N926DZ,BOEING,737 NG,5
1101,N733UW,AIRBUS,A319,24
1102,N908EV,CANADAIR REGIONAL JET,CRJ,22
1103,N242NV,AIRBUS,A320,23
1104,N731AN,BOEING,777,10
1105,N73445,BOEING,737 NG,13
1106,N13954,BOEING,787,9
1107,N371NB,AIRBUS,A319,21
1108,N7865A,BOEING,737 NG,22
1109,N904AN,BOEING,737 NG,25
1110,N8555Z,BOEING,737 NG,7
1111,N873DN,BOEING,737 NG,7
1112,N196SY,EMBRAER,170/175,7
1113,N760JB,AIRBUS,A320,16
1114,N17963,BOEING,787,8
1115,N821DX,BOEING,757,20
1116,N8675A,BOEING,737 NG,9
1117,N14016,BOEING,787,2
1118,N361DN,AIRBUS,A321,6
1119,N673NK,AIRBUS,A321,7
1120,N215HA,AIRBUS,A321,6
1121,N850UA,AIRBUS,A319,22
1122,N3759,BOEING,737 NG,23
1123,N964WN,BOEING,737 NG,13
1124,N983AT,BOEING,717,19
1125,N284SY,EMBRAER,170/175,6
1126,N434YX,EMBRAER,170/175,10
1127,N607JB,AIRBUS,A320,19
1128,N342RX,BOEING,737 NG,5
1129,N134EV,CANADAIR REGIONAL JET,CRJ,15
1130,N549UW,AIRBUS,A321,13
1131,N484WN,BOEING,737 NG,20
1132,N701UW,AIRBUS,A319,26
1133,N122DN,AIRBUS,A321,3
1134,N937NK,AIRBUS,A320,3
1135,N302DN,AIRBUS,A321,8
1136,N494AS,BOEING,737 NG,8
1137,N514AS,BOEING,737 NG,16
1138,N8311Q,BOEING,737 NG,12
1139,N73275,BOEING,737 NG,22
1140,N571JB,AIRBUS,A320,21
1141,N109NN,AIRBUS,A321,10
1142,N230JQ,EMBRAER,170/175,16
1143,N252WN,BOEING,737 NG,18
1144,N117DX,AIRBUS,A321,4
1145,N339PL,BOEING,737 NG,7
1146,N370NB,AIRBUS,A319,21
1147,N127UW,AIRBUS,A320,14
1148,N990NN,BOEING,737 NG,8
1149,N447AN,AIRBUS,A321,2
1150,N924NN,BOEING,737 NG,11
1151,N3743H,BOEING,737 NG,23
1152,N173SY,EMBRAER,170/175,9
1153,N736AT,BOEING,777,8
1154,N521NK,AIRBUS,A319,18
1155,N63820,BOEING,737 NG,10
1156,N801NW,AIRBUS,A330,21
1157,N286NV,AIRBUS,A320,14
1158,N314DN,AIRBUS,A321,8
1159,N986AT,BOEING,717,23
1160,N503DZ,AIRBUS,A321,2
1161,N712SK,CANADAIR REGIONAL JET,CRJ,20
1162,N236WN,BOEING,737 NG,18
1163,N969NK,AIRBUS,A320,2
1164,N913DU,BOEING,737 NG,6
1165,N243NN,EMBRAER,170/175,8
1166,N267NN,EMBRAER,170/175,6
1167,N360HA,AIRBUS,A330,8
1168,N77537,BOEING,737 NG,8
1169,N849NN,BOEING,737 NG,14
1170,N358JB,EMBRAER,190/195,11
1171,N959AN,BOEING,737 NG,23
1172,N810DN,BOEING,737 NG,11
1173,N705JB,AIRBUS,A320,16
1174,N8835Q,BOEING,737 NG,2
1175,N822SK,CANADAIR REGIONAL JET,CRJ,16
1176,N434AS,BOEING,737 NG,8
1177,N17719,BOEING,737 NG,25
1178,N786AN,BOEING,777,24
1179,N37538,BOEING,737 NG,2
1180,N228NN,EMBRAER,170/175,8
1181,N29985,BOEING,787,4
1182,N629JB,AIRBUS,A320,19
1183,N289CT,BOEING,737 NG,17
1184,N708UW,AIRBUS,A319,25
1185,N983NN,BOEING,737 NG,9
1186,N635JB,AIRBUS,A320,18
1187,N282NV,AIRBUS,A320,18
1188,N829AN,BOEING,787,7
1189,N874UA,AIRBUS,A319,21
1190,N848NN,BOEING,737 NG,14
1191,N419AN,AIRBUS,A321,4
1192,N9025B,AIRBUS,A319,10
1193,N702UW,AIRBUS,A319,26
1194,N179UW,AIRBUS,A321,23
1195,N830NN,BOEING,737 NG,14
1196,N482PX,CANADAIR REGIONAL JET,CRJ,4
1197,N338RS,BOEING,737 NG,6
1198,N37255,BOEING,737 NG,24
1199,N7840A,BOEING,737 NG,24
1200,N689EC,EMBRAER,135/145,20
1201,N119SY,EMBRAER,170/175,10
1202,N601XJ,CANADAIR REGIONAL JET,CRJ,17
1203,N780AN,BOEING,777,25
1204,N208HA,AIRBUS,A321,6
1205,N610NN,CANADAIR REGIONAL JET,CRJ,5
1206,N831UA,AIRBUS,A319,24
