airport_id,airport_code,city_name
317,CPR,"Casper, WY"
318,MTJ,"Montrose/Delta, CO"
319,BNA,"Nashville, TN"
320,AMA,"Amarillo, TX"
321,LIT,"Little Rock, AR"
322,RHI,"Rhinelander, WI"
323,SLC,"Salt Lake City, UT"
324,ABY,"Albany, GA"
325,HPN,"White Plains, NY"
326,FOD,"Fort Dodge, IA"
327,MCO,"Orlando, FL"
328,IDA,"Idaho Falls, ID"
329,ONT,"Ontario, CA"
330,GFK,"Grand Forks, ND"
331,SHR,"Sheridan, WY"
332,SWF,"Newburgh/Poughkeepsie, NY"
333,PHX,"Phoenix, AZ"
334,ILM,"Wilmington, NC"
335,MDW,"Chicago, IL"
336,PGD,"Punta Gorda, FL"
337,SCE,"State College, PA"
338,FSM,"Fort Smith, AR"
339,PPG,"Pago Pago, TT"
